106.4698 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1440, 900]. Using actual size
107.2631 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x125096dd8>, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x12a0092e8>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1440,  900]), stereo=False, units='norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
107.2632 	EXP 	window1: recordFrameIntervals = False
107.4291 	EXP 	window1: recordFrameIntervals = True
107.6135 	EXP 	window1: recordFrameIntervals = False
107.8077 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text=str(...), units='norm', win=Window(...), wrapWidth=1)
107.8665 	EXP 	Sound  set volume 1.000
107.8681 	EXP 	Created text_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text_2', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='', units='norm', win=Window(...), wrapWidth=1)
107.8770 	EXP 	Sound  set volume 1.000
107.8786 	EXP 	Created text_3 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text_3', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='', units='norm', win=Window(...), wrapWidth=1)
107.9122 	EXP 	text: autoDraw = True
108.9022 	EXP 	Imported audio.xlsx as conditions, 4 conditions, 1 params
108.9030 	EXP 	Created sequence: random, trialTypes=4, nReps=5, seed=None
108.9035 	EXP 	New trial (rep=0, index=0): OrderedDict([('Direction', 'Right.wav')])
108.9148 	EXP 	text: autoDraw = False
109.6870 	EXP 	text_2: autoDraw = True
112.6766 	EXP 	text_2: autoDraw = False
112.6766 	EXP 	text_2: autoDraw = False
112.6766 	EXP 	text_3: autoDraw = True
114.6986 	EXP 	New trial (rep=0, index=1): OrderedDict([('Direction', 'Up.wav')])
114.7148 	EXP 	text_3: autoDraw = False
114.7148 	EXP 	text_3: autoDraw = False
115.4165 	EXP 	text_2: autoDraw = True
118.4079 	EXP 	text_2: autoDraw = False
118.4079 	EXP 	text_2: autoDraw = False
118.4079 	EXP 	text_3: autoDraw = True
120.5982 	EXP 	New trial (rep=0, index=2): OrderedDict([('Direction', 'Down.wav')])
120.6138 	EXP 	text_3: autoDraw = False
120.6138 	EXP 	text_3: autoDraw = False
121.3667 	EXP 	text_2: autoDraw = True
124.3568 	EXP 	text_2: autoDraw = False
124.3568 	EXP 	text_2: autoDraw = False
124.3568 	EXP 	text_3: autoDraw = True
126.6975 	EXP 	New trial (rep=0, index=3): OrderedDict([('Direction', 'Left.wav')])
126.7130 	EXP 	text_3: autoDraw = False
126.7130 	EXP 	text_3: autoDraw = False
127.4824 	EXP 	text_2: autoDraw = True
130.4735 	EXP 	text_2: autoDraw = False
130.4735 	EXP 	text_2: autoDraw = False
130.4735 	EXP 	text_3: autoDraw = True
132.7465 	EXP 	New trial (rep=1, index=0): OrderedDict([('Direction', 'Up.wav')])
132.7625 	EXP 	text_3: autoDraw = False
132.7625 	EXP 	text_3: autoDraw = False
133.4648 	EXP 	text_2: autoDraw = True
136.4562 	EXP 	text_2: autoDraw = False
136.4562 	EXP 	text_2: autoDraw = False
136.4562 	EXP 	text_3: autoDraw = True
138.5126 	EXP 	New trial (rep=1, index=1): OrderedDict([('Direction', 'Right.wav')])
138.5277 	EXP 	text_3: autoDraw = False
138.5277 	EXP 	text_3: autoDraw = False
139.2975 	EXP 	text_2: autoDraw = True
142.2881 	EXP 	text_2: autoDraw = False
142.2881 	EXP 	text_2: autoDraw = False
142.2881 	EXP 	text_3: autoDraw = True
144.6125 	EXP 	New trial (rep=1, index=2): OrderedDict([('Direction', 'Down.wav')])
144.6280 	EXP 	text_3: autoDraw = False
144.6280 	EXP 	text_3: autoDraw = False
145.3795 	EXP 	text_2: autoDraw = True
148.3709 	EXP 	text_2: autoDraw = False
148.3709 	EXP 	text_2: autoDraw = False
148.3709 	EXP 	text_3: autoDraw = True
149.7782 	DATA 	Keypress: escape
150.0569 	EXP 	window1: mouseVisible = True
